Signal_Date,Execution_Date,One_Way_Turnover,Risky_Trade_Notional,Transaction_Cost_Bps,Slippage_Bps,Transaction_Cost_Fraction,Slippage_Fraction,Total_Trading_Cost_Fraction,Gross_Exposure_After_Rebalance,PreTrade_XLF,PreTrade_XLK,PreTrade_XLE,PreTrade_CASH,Target_XLF,Target_XLK,Target_XLE,Target_CASH
2025-03-31,2025-04-01,0.23100209389202886,0.23100209389202878,5.0,5.0,0.0001155010469460144,0.0001155010469460144,0.0002310020938920288,0.7765537015909643,0.3045826674572332,0.0,0.2409689402417022,0.45444839230106465,0.3577762769449223,0.0,0.4187774246460419,0.2234462984090357
2025-04-30,2025-05-01,0.7607645053439234,0.7607645053439234,5.0,5.0,0.00038038225267196166,0.00038038225267196166,0.0007607645053439233,0.0,0.3753578520091417,0.0,0.3854066533347817,0.2392354946560767,0.0,0.0,0.0,1.0
2025-05-30,2025-06-02,0.31704523390402667,0.3170452339040266,5.0,5.0,0.00015852261695201332,0.00015852261695201332,0.00031704523390402664,0.3170452339040266,0.0,0.0,0.0,1.0,0.0,0.1795923998540669,0.1374528340499597,0.6829547660959733
2025-06-30,2025-07-01,0.14053998937389228,0.23841003530112018,5.0,5.0,0.00011920501765056009,0.00011920501765056009,0.00023841003530112017,0.2878514088256251,0.0,0.18998136289839732,0.1405399893738924,0.6694786477277104,0.0,0.2878514088256251,0.0,0.7121485911743748
2025-07-31,2025-08-01,0.4944428280187225,0.49444282801872247,5.0,5.0,0.00024722141400936124,0.00024722141400936124,0.0004944428280187225,0.7872421088407153,0.0,0.2927992808219928,0.0,0.7072007191780072,0.3412353798993657,0.4460067289413496,0.0,0.2127578911592846
2025-08-29,2025-09-02,0.34904635393527045,0.5068271435565921,5.0,5.0,0.000253413571778296,0.000253413571778296,0.000506827143556592,0.6,0.34904635393527045,0.4422192103786783,0.0,0.20873443568605118,0.0,0.6,0.0,0.4
2025-09-30,2025-10-01,0.4626086329381077,0.5472046573067878,5.0,5.0,0.0002736023286533939,0.0002736023286533939,0.0005472046573067878,0.9999999999999999,0.0,0.6219873914305722,0.0,0.3780126085694277,0.4626086329381077,0.5373913670618922,0.0,1.1102230246251563e-16
2025-10-31,2025-11-03,0.5578198265993668,1.0975152577118716,5.0,5.0,0.0005487576288559358,0.0005487576288559358,0.0010975152577118717,0.9818756045131378,0.44218017340063304,0.5578198265993669,0.0,1.0864290616736731e-16,0.4663121187343366,0.0,0.5155634857788012,0.0181243954868621
2025-11-28,2025-12-01,0.46129610255307163,0.5402707842953718,5.0,5.0,0.00027013539214768587,0.00027013539214768587,0.0005402707842953717,0.6,0.4612961025530716,0.0,0.5210253182576997,0.017678579189228598,0.0,0.0,0.6,0.4
2025-12-31,2026-01-02,0.6019829629831986,1.2019829629831986,5.0,5.0,0.0006009914814915992,0.0006009914814915992,0.0012019829629831985,0.6,0.0,0.0,0.6019829629831986,0.3980170370168014,0.6,0.0,0.0,0.4
2026-01-30,2026-02-02,0.45575130472711534,0.6085319332757502,5.0,5.0,0.00030426596663787506,0.00030426596663787506,0.0006085319332757501,0.8989993354926832,0.5960286593142028,0.0,0.0,0.40397134068579715,0.4432480307655679,0.0,0.4557513047271153,0.1010006645073167
2026-02-27,2026-03-02,0.08900638142622229,0.0890063814262223,5.0,5.0,4.4503190713111153e-05,4.4503190713111153e-05,8.900638142622231e-05,0.8139945723177844,0.40417778435848856,0.0,0.4988231693855182,0.09699904625599332,0.3859205237877372,0.0,0.4280740485300472,0.1860054276822156
2026-03-31,2026-04-01,0.04576013945105768,0.04576013945105756,5.0,5.0,2.2880069725528778e-05,2.2880069725528778e-05,4.5760139451057556e-05,0.8607344647324382,0.37187081276851014,0.0,0.44310351251287056,0.1850256747186193,0.3980445762216547,0.0,0.4626898885107836,0.1392655352675615
2026-04-30,2026-05-01,0.8633345311495026,1.3265827078017396,5.0,5.0,0.0006632913539008698,0.0006632913539008698,0.0013265827078017395,0.4632481766522369,0.41020698547451073,0.0,0.4531275456749919,0.13666546885049743,0.0,0.4632481766522369,0.0,0.5367518233477631
2026-05-29,2026-06-01,0.3569549062341778,0.4938523788484355,5.0,5.0,0.00024692618942421775,0.00024692618942421775,0.0004938523788484355,0.7307615434939088,0.0,0.5107041098739887,0.0,0.4892958901260112,0.3569549062341778,0.373806637259731,0.0,0.2692384565060911
