model,Date,ranking_correlation,n_sectors
Logistic_Regression,2025-12-31,-0.5,3
Logistic_Regression,2026-01-30,1.0,3
Logistic_Regression,2026-02-27,1.0,3
Logistic_Regression,2026-03-31,-1.0,3
Logistic_Regression,2026-04-30,1.0,3
Logistic_Regression,2026-05-29,0.5,3
Random_Forest,2024-05-31,0.5,3
Random_Forest,2024-06-28,-0.5,3
Random_Forest,2024-07-31,1.0,3
Random_Forest,2024-08-30,0.5,3
Random_Forest,2024-09-30,-1.0,3
Random_Forest,2024-10-31,1.0,3
Random_Forest,2024-11-29,0.5,3
Random_Forest,2024-12-31,-1.0,3
Random_Forest,2025-01-31,-1.0,3
Random_Forest,2025-02-28,0.5,3
Random_Forest,2025-03-31,-0.5,3
Random_Forest,2025-04-30,-0.5,3
Random_Forest,2025-05-30,1.0,3
Random_Forest,2025-06-30,1.0,3
Random_Forest,2025-07-31,-1.0,3
Random_Forest,2025-08-29,0.5,3
Random_Forest,2025-09-30,0.5,3
Random_Forest,2025-10-31,-0.5,3
Random_Forest,2025-11-28,-0.5,3
Random_Forest,2025-12-31,-1.0,3
Random_Forest,2026-01-30,1.0,3
Random_Forest,2026-02-27,1.0,3
Random_Forest,2026-03-31,-1.0,3
Random_Forest,2026-04-30,0.5,3
Random_Forest,2026-05-29,0.5,3
Regime_Switching_Ensemble,2024-05-31,0.5,3
Regime_Switching_Ensemble,2024-06-28,-1.0,3
Regime_Switching_Ensemble,2024-07-31,0.5,3
Regime_Switching_Ensemble,2024-08-30,0.5,3
Regime_Switching_Ensemble,2024-09-30,-0.5,3
Regime_Switching_Ensemble,2024-10-31,-0.5,3
Regime_Switching_Ensemble,2024-11-29,0.5,3
Regime_Switching_Ensemble,2024-12-31,-1.0,3
Regime_Switching_Ensemble,2025-01-31,-1.0,3
Regime_Switching_Ensemble,2025-02-28,-0.5,3
Regime_Switching_Ensemble,2025-03-31,-1.0,3
Regime_Switching_Ensemble,2025-04-30,1.0,3
Regime_Switching_Ensemble,2025-05-30,1.0,3
Regime_Switching_Ensemble,2025-06-30,0.5,3
Regime_Switching_Ensemble,2025-07-31,-1.0,3
Regime_Switching_Ensemble,2025-08-29,1.0,3
Regime_Switching_Ensemble,2025-09-30,-0.5,3
Regime_Switching_Ensemble,2025-10-31,-1.0,3
Regime_Switching_Ensemble,2025-11-28,-0.5,3
Regime_Switching_Ensemble,2025-12-31,-1.0,3
Regime_Switching_Ensemble,2026-01-30,1.0,3
Regime_Switching_Ensemble,2026-02-27,1.0,3
Regime_Switching_Ensemble,2026-03-31,-1.0,3
Regime_Switching_Ensemble,2026-04-30,0.5,3
Regime_Switching_Ensemble,2026-05-29,0.5,3
Soft_Voting_Ensemble,2024-05-31,0.5,3
Soft_Voting_Ensemble,2024-06-28,-0.5,3
Soft_Voting_Ensemble,2024-07-31,1.0,3
Soft_Voting_Ensemble,2024-08-30,0.5,3
Soft_Voting_Ensemble,2024-09-30,0.5,3
Soft_Voting_Ensemble,2024-10-31,0.5,3
Soft_Voting_Ensemble,2024-11-29,0.5,3
Soft_Voting_Ensemble,2024-12-31,-1.0,3
Soft_Voting_Ensemble,2025-01-31,-1.0,3
Soft_Voting_Ensemble,2025-02-28,-0.5,3
Soft_Voting_Ensemble,2025-03-31,-1.0,3
Soft_Voting_Ensemble,2025-04-30,1.0,3
Soft_Voting_Ensemble,2025-05-30,1.0,3
Soft_Voting_Ensemble,2025-06-30,0.5,3
Soft_Voting_Ensemble,2025-07-31,-1.0,3
Soft_Voting_Ensemble,2025-08-29,1.0,3
Soft_Voting_Ensemble,2025-09-30,0.5,3
Soft_Voting_Ensemble,2025-10-31,-0.5,3
Soft_Voting_Ensemble,2025-11-28,-0.5,3
Soft_Voting_Ensemble,2025-12-31,-1.0,3
Soft_Voting_Ensemble,2026-01-30,1.0,3
Soft_Voting_Ensemble,2026-02-27,1.0,3
Soft_Voting_Ensemble,2026-03-31,-1.0,3
Soft_Voting_Ensemble,2026-04-30,0.5,3
Soft_Voting_Ensemble,2026-05-29,0.5,3
