Signal_Date,Strategy,Selected_Sectors,Selected_Sector_Count,Invested_Weight,Cash_Weight,One_Way_Turnover,Execution_Rule
2026-01-30,Top_N_Equal_Weight,"XLE,XLF",2,1.0,0.0,0.5,Next trading session after signal date
2026-02-27,Top_N_Equal_Weight,"XLE,XLF",2,1.0,0.0,0.0,Next trading session after signal date
2026-03-31,Top_N_Equal_Weight,"XLE,XLF",2,1.0,0.0,0.0,Next trading session after signal date
2026-04-30,Top_N_Equal_Weight,"XLE,XLK",2,1.0,0.0,0.5,Next trading session after signal date
2026-05-29,Top_N_Equal_Weight,"XLF,XLK",2,1.0,0.0,0.5,Next trading session after signal date
2024-05-31,Threshold_Equal_Weight,"XLE,XLF,XLK",3,1.0,0.0,0.9999999999999999,Next trading session after signal date
2024-06-28,Threshold_Equal_Weight,XLK,1,0.6,0.4,0.6666666666666666,Next trading session after signal date
2024-07-31,Threshold_Equal_Weight,,0,0.0,1.0,0.6,Next trading session after signal date
2024-08-30,Threshold_Equal_Weight,,0,0.0,1.0,0.0,Next trading session after signal date
2024-09-30,Threshold_Equal_Weight,,0,0.0,1.0,0.0,Next trading session after signal date
2024-10-31,Threshold_Equal_Weight,XLF,1,0.6,0.4,0.6,Next trading session after signal date
2024-11-29,Threshold_Equal_Weight,"XLE,XLF,XLK",3,1.0,0.0,0.6666666666666666,Next trading session after signal date
2024-12-31,Threshold_Equal_Weight,"XLE,XLF,XLK",3,1.0,0.0,0.0,Next trading session after signal date
2025-01-31,Threshold_Equal_Weight,XLK,1,0.6,0.4,0.6666666666666666,Next trading session after signal date
2025-02-28,Threshold_Equal_Weight,"XLE,XLF",2,1.0,0.0,1.0,Next trading session after signal date
2025-03-31,Threshold_Equal_Weight,"XLE,XLF",2,1.0,0.0,0.0,Next trading session after signal date
2025-04-30,Threshold_Equal_Weight,,0,0.0,1.0,1.0,Next trading session after signal date
2025-05-30,Threshold_Equal_Weight,"XLE,XLF,XLK",3,1.0,0.0,0.9999999999999999,Next trading session after signal date
2025-06-30,Threshold_Equal_Weight,XLK,1,0.6,0.4,0.6666666666666666,Next trading session after signal date
2025-07-31,Threshold_Equal_Weight,"XLE,XLF,XLK",3,1.0,0.0,0.6666666666666666,Next trading session after signal date
2025-08-29,Threshold_Equal_Weight,XLK,1,0.6,0.4,0.6666666666666666,Next trading session after signal date
2025-09-30,Threshold_Equal_Weight,"XLF,XLK",2,1.0,0.0,0.5,Next trading session after signal date
2025-10-31,Threshold_Equal_Weight,"XLE,XLF",2,1.0,0.0,0.5,Next trading session after signal date
2025-11-28,Threshold_Equal_Weight,XLE,1,0.6,0.4,0.5,Next trading session after signal date
2025-12-31,Threshold_Equal_Weight,XLF,1,0.6,0.4,0.6,Next trading session after signal date
2026-01-30,Threshold_Equal_Weight,"XLE,XLF",2,1.0,0.0,0.5,Next trading session after signal date
2026-02-27,Threshold_Equal_Weight,"XLE,XLF",2,1.0,0.0,0.0,Next trading session after signal date
2026-03-31,Threshold_Equal_Weight,"XLE,XLF",2,1.0,0.0,0.0,Next trading session after signal date
2026-04-30,Threshold_Equal_Weight,XLK,1,0.6,0.4,1.0,Next trading session after signal date
2026-05-29,Threshold_Equal_Weight,"XLF,XLK",2,1.0,0.0,0.5,Next trading session after signal date
2024-05-31,Probability_Score_Weighted,"XLE,XLF,XLK",3,1.0,0.0,1.0,Next trading session after signal date
2024-06-28,Probability_Score_Weighted,"XLE,XLF,XLK",3,0.9999999999999999,0.0,0.09952429234371295,Next trading session after signal date
2024-07-31,Probability_Score_Weighted,"XLE,XLF,XLK",3,0.9999999999999998,0.0,0.1818627777179458,Next trading session after signal date
2024-08-30,Probability_Score_Weighted,"XLE,XLF,XLK",3,1.0,0.0,0.0771625163595733,Next trading session after signal date
2024-09-30,Probability_Score_Weighted,"XLE,XLF,XLK",3,0.9999999999999999,0.0,0.077648223363917,Next trading session after signal date
2024-10-31,Probability_Score_Weighted,"XLE,XLF,XLK",3,0.9999999999999998,0.0,0.06996134687345903,Next trading session after signal date
2024-11-29,Probability_Score_Weighted,"XLE,XLF,XLK",3,1.0,0.0,0.11262940785877945,Next trading session after signal date
2024-12-31,Probability_Score_Weighted,"XLE,XLF,XLK",3,1.0,0.0,0.02321289965060841,Next trading session after signal date
2025-01-31,Probability_Score_Weighted,"XLE,XLF,XLK",3,0.9999999999999999,0.0,0.03285315159188065,Next trading session after signal date
2025-02-28,Probability_Score_Weighted,"XLE,XLF,XLK",3,1.0,0.0,0.09276761825652727,Next trading session after signal date
2025-03-31,Probability_Score_Weighted,"XLE,XLF,XLK",3,1.0,0.0,0.04354499440932259,Next trading session after signal date
2025-04-30,Probability_Score_Weighted,"XLE,XLF,XLK",3,1.0,0.0,0.12124817819387172,Next trading session after signal date
2025-05-30,Probability_Score_Weighted,"XLE,XLF,XLK",3,1.0,0.0,0.06353962654743359,Next trading session after signal date
2025-06-30,Probability_Score_Weighted,"XLE,XLF,XLK",3,1.0,0.0,0.11891239012313551,Next trading session after signal date
2025-07-31,Probability_Score_Weighted,"XLE,XLF,XLK",3,1.0,0.0,0.0722132973010311,Next trading session after signal date
2025-08-29,Probability_Score_Weighted,"XLE,XLF,XLK",3,1.0,0.0,0.06103639372446562,Next trading session after signal date
2025-09-30,Probability_Score_Weighted,"XLE,XLF,XLK",3,1.0,0.0,0.11785987560833613,Next trading session after signal date
2025-10-31,Probability_Score_Weighted,"XLE,XLF,XLK",3,1.0,0.0,0.08491186336447903,Next trading session after signal date
2025-11-28,Probability_Score_Weighted,"XLE,XLF,XLK",3,1.0,0.0,0.12112666403408137,Next trading session after signal date
2025-12-31,Probability_Score_Weighted,"XLE,XLF,XLK",3,1.0,0.0,0.15509918657837374,Next trading session after signal date
2026-01-30,Probability_Score_Weighted,"XLE,XLF,XLK",3,1.0,0.0,0.10951741157463873,Next trading session after signal date
2026-02-27,Probability_Score_Weighted,"XLE,XLF,XLK",3,0.9999999999999999,0.0,0.043726662022805826,Next trading session after signal date
2026-03-31,Probability_Score_Weighted,"XLE,XLF,XLK",3,0.9999999999999999,0.0,0.05080844781999844,Next trading session after signal date
2026-04-30,Probability_Score_Weighted,"XLE,XLF,XLK",3,0.9999999999999999,0.0,0.232655373690086,Next trading session after signal date
2026-05-29,Probability_Score_Weighted,"XLE,XLF,XLK",3,1.0,0.0,0.13015238401720022,Next trading session after signal date
2024-05-31,Combined_Default,"XLE,XLK",2,1.0,0.0,1.0,Next trading session after signal date
2024-06-28,Combined_Default,XLK,1,0.6,0.4,0.4439479250936983,Next trading session after signal date
2024-07-31,Combined_Default,,0,0.0,1.0,0.6,Next trading session after signal date
2024-08-30,Combined_Default,,0,0.0,1.0,0.0,Next trading session after signal date
2024-09-30,Combined_Default,,0,0.0,1.0,0.0,Next trading session after signal date
2024-10-31,Combined_Default,XLF,1,0.6,0.4,0.6,Next trading session after signal date
2024-11-29,Combined_Default,"XLE,XLK",2,1.0,0.0,1.0,Next trading session after signal date
2024-12-31,Combined_Default,"XLE,XLK",2,1.0,0.0,0.027896303468080447,Next trading session after signal date
2025-01-31,Combined_Default,XLK,1,0.6,0.4,0.5196957289631454,Next trading session after signal date
2025-02-28,Combined_Default,"XLE,XLF",2,1.0,0.0,1.0,Next trading session after signal date
2025-03-31,Combined_Default,"XLE,XLF",2,1.0,0.0,0.008716487322823402,Next trading session after signal date
2025-04-30,Combined_Default,,0,0.0,1.0,1.0,Next trading session after signal date
2025-05-30,Combined_Default,"XLE,XLK",2,1.0,0.0,1.0,Next trading session after signal date
2025-06-30,Combined_Default,XLK,1,0.6,0.4,0.47082987954043526,Next trading session after signal date
2025-07-31,Combined_Default,"XLF,XLK",2,1.0,0.0,0.4128304109859749,Next trading session after signal date
2025-08-29,Combined_Default,XLK,1,0.6,0.4,0.4128304109859749,Next trading session after signal date
2025-09-30,Combined_Default,"XLF,XLK",2,0.9999999999999999,0.0,0.5143416318326359,Next trading session after signal date
2025-10-31,Combined_Default,"XLE,XLF",2,1.0000000000000002,0.0,0.4856583681673641,Next trading session after signal date
2025-11-28,Combined_Default,XLE,1,0.6,0.4,0.5423319137099498,Next trading session after signal date
2025-12-31,Combined_Default,XLF,1,0.6,0.4,0.6,Next trading session after signal date
2026-01-30,Combined_Default,"XLE,XLF",2,1.0,0.0,0.49417943222819444,Next trading session after signal date
2026-02-27,Combined_Default,"XLE,XLF",2,1.0,0.0,0.057448236823631066,Next trading session after signal date
2026-03-31,Combined_Default,"XLE,XLF",2,1.0,0.0,0.022402806772441025,Next trading session after signal date
2026-04-30,Combined_Default,XLK,1,0.6,0.4,1.0,Next trading session after signal date
2026-05-29,Combined_Default,"XLF,XLK",2,1.0,0.0,0.4791275007683774,Next trading session after signal date
